time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447700000	20.1739	10.3435	4.91829	1.3229	0.462088	lidar	1.15063	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1924	10.5714	4.64145	1.36907	0.501436	radar	2.53816	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2423	10.8648	4.83133	1.40821	0.522877	lidar	2.15284	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2628	11.1425	5.04068	1.44595	0.534484	radar	4.76852	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3009	11.3726	4.98301	1.46357	0.522134	lidar	0.0660362	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2553	11.6035	4.53108	1.53436	0.599532	radar	8.74569	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3269	11.8298	4.52683	1.53566	0.564661	lidar	5.09134	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3428	12.0833	5.02487	1.54396	0.517295	radar	4.20343	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3206	12.3987	5.22707	1.59043	0.546589	lidar	0.702803	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2726	12.628	4.83212	1.64763	0.60513	radar	2.69245	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3065	12.8446	4.73451	1.65107	0.570912	lidar	2.16714	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3038	13.0618	4.69548	1.6675	0.552542	radar	2.10772	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2738	13.2579	4.58016	1.69305	0.547469	lidar	0.791271	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.236	13.494	4.73566	1.71714	0.5346	radar	1.37902	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.207	13.7712	4.8699	1.74287	0.536352	lidar	1.51809	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1581	13.9871	4.71095	1.77553	0.549988	radar	0.747609	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0931	14.2596	4.85896	1.81058	0.562402	lidar	0.434058	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0203	14.49	4.88146	1.84156	0.562916	radar	1.32551	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8987	14.7672	5.07393	1.89224	0.593781	lidar	0.902531	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.831	14.9854	5.09346	1.90559	0.557604	radar	3.3894	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8225	15.1744	4.83427	1.90254	0.516538	lidar	2.41941	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7191	15.3449	4.23419	1.9728	0.619725	radar	6.65808	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7085	15.4994	4.00794	1.97523	0.582179	lidar	2.58847	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6389	15.6756	4.05096	1.99267	0.556703	radar	1.22254	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5069	15.9264	4.33327	2.03448	0.578249	lidar	0.67105	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4114	16.1298	4.49237	2.04551	0.534446	radar	1.80777	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2952	16.3184	4.47879	2.07742	0.540416	lidar	0.287377	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1874	16.5036	4.42455	2.10662	0.546458	radar	0.191357	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0265	16.7561	4.70676	2.14328	0.561358	lidar	0.611097	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8669	16.9481	4.58451	2.21302	0.657895	radar	6.61056	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.648	17.2374	5.07244	2.25763	0.677009	lidar	1.81134	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5522	17.4415	5.03615	2.22623	0.535764	radar	6.02049	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3173	17.6597	5.27067	2.2752	0.561498	lidar	3.21367	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.1677	17.8659	5.29367	2.27522	0.496779	radar	1.95081	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0682	18.0207	4.99177	2.28654	0.480477	lidar	1.33197	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.8995	18.1643	4.82595	2.33447	0.531911	radar	2.37702	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8094	18.2663	4.43819	2.3531	0.520377	lidar	0.955216	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6969	18.4266	4.33771	2.35958	0.488489	radar	6.35815	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4646	18.6469	4.7207	2.38895	0.495807	lidar	0.878274	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2955	18.776	4.62276	2.42726	0.524137	radar	1.79974	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1462	18.9024	4.49187	2.45205	0.522172	lidar	0.103968	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9809	19.0708	4.53009	2.46364	0.498063	radar	3.04416	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7484	19.2015	4.65613	2.50505	0.516819	lidar	2.83915	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5475	19.3637	4.77081	2.52997	0.522839	radar	3.28893	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2869	19.5551	5.0876	2.55334	0.518446	lidar	0.602982	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.066	19.6345	5.00198	2.60871	0.568556	radar	10.2048	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8582	19.7787	5.01887	2.6289	0.559347	lidar	0.675418	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6848	19.8931	4.7402	2.63182	0.498157	radar	3.2643	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4301	20.065	5.00326	2.64533	0.483118	lidar	0.927926	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.1951	20.2236	5.11471	2.65401	0.458182	radar	5.29799	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0423	20.3296	4.86549	2.66936	0.452378	lidar	2.12508	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8105	20.4118	4.90231	2.70972	0.484601	radar	2.25198	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6025	20.5256	4.8786	2.72707	0.477216	lidar	0.584377	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3492	20.6234	5.0571	2.76304	0.506931	radar	1.17486	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
